시점,발생지역별(1),범죄별(1),데이터
2014,서울,범죄발생총건수(A) (건),389353
2014,부산,범죄발생총건수(A) (건),147945
2014,대구,범죄발생총건수(A) (건),103469
2014,인천,범죄발생총건수(A) (건),103861
2014,광주,범죄발생총건수(A) (건),71182
2014,대전,범죄발생총건수(A) (건),50232
2014,울산,범죄발생총건수(A) (건),45490
2014,세종,범죄발생총건수(A) (건),3717
2014,경기,범죄발생총건수(A) (건),442902
2014,강원,범죄발생총건수(A) (건),58772
2014,충북,범죄발생총건수(A) (건),55437
2014,충남,범죄발생총건수(A) (건),77187
2014,전북,범죄발생총건수(A) (건),62694
2014,전남,범죄발생총건수(A) (건),71866
2014,경북,범죄발생총건수(A) (건),95509
2014,경남,범죄발생총건수(A) (건),121986
2014,제주,범죄발생총건수(A) (건),32233
