시점,항목,행정구역(시군구)별,데이터
2002,총인구수 (명),전국,48229948
2003,총인구수 (명),전국,"  48386823	"
2004,총인구수 (명),전국,"48,583,805"
2005,총인구수 (명),전국,"48,782,274"
2006,총인구수 (명),전국,"48,991,779"
2007,총인구수 (명),전국,"49,268,928"
2008,총인구수 (명),전국,"49,540,367"
2009,총인구수 (명),전국,"49,773,145"
2010,총인구수 (명),전국,"50,515,666"
2011,총인구수 (명),전국,50734284
2012,총인구수 (명),전국,50948272
2013,총인구수 (명),전국,51141463
2014,총인구수 (명),전국,51327916
2015,총인구수 (명),전국,51529338
2016,총인구수 (명),전국,51696216
2017,총인구수 (명),전국,51778544
2018,총인구수 (명),전국,51826059
2019,총인구수 (명),전국,51849861
